code,name_ar,name_en,parent_code,level,account_type,financial_statement_type,normal_balance,is_postable,is_active,requires_subledger,subledger_type,allow_manual_entry,allow_reconciliation
1,الأصول,Assets,,1,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
11,الأصول المتداولة,Current Assets,1,2,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
1101,النقدية ومافي حكمها,Cash and Cash Equivalents,11,3,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
110101,الصناديق النقدية,Cash on hand,1101,4,ASSET,BS,DR,TRUE,TRUE,TRUE,CASH_CUSTODIAN,TRUE,FALSE
110102,الحسابات البنكية,Bank Accounts,1101,4,ASSET,BS,DR,TRUE,TRUE,TRUE,BANK,TRUE,TRUE
110103,العهد النثرية,Petty Cash Funds,1101,4,ASSET,BS,DR,TRUE,TRUE,TRUE,PETTY_CASH_HOLDER,TRUE,TRUE
1102,الذمم المدينة — العملاء,Accounts Receivable,11,3,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
110201,ذمم عملاء محليون,AR — Local,1102,4,ASSET,BS,DR,TRUE,TRUE,TRUE,CUSTOMER,FALSE,TRUE
110202,ذمم عملاء تصدير,AR — Export,1102,4,ASSET,BS,DR,TRUE,TRUE,TRUE,CUSTOMER,FALSE,TRUE
110203,ذمم مدينة - غير مفوترة,AR - Unbilled Revenue,1102,4,ASSET,BS,DR,TRUE,TRUE,TRUE,CUSTOMER,FALSE,FALSE
110204,مخصص ديون مشكوك فيها,Allowance — Doubtful Debts,1102,4,ASSET,BS,CR,TRUE,TRUE,TRUE,CUSTOMER,FALSE,TRUE
1103,المخزون,Inventory,11,3,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
110301,استلام البضاعة - مشتريات,Received Material Purchased,1103,4,ASSET,BS,DR,TRUE,TRUE,TRUE,INVENTORY_CATEGORY,FALSE,FALSE
110302,مخزون مواد خام,Raw Material Inventory,1103,4,ASSET,BS,DR,TRUE,TRUE,TRUE,INVENTORY_CATEGORY,FALSE,FALSE
110303,مخزون بضاعة تامة الصنع,Manufactured Finished Good Inventory,1103,4,ASSET,BS,DR,TRUE,TRUE,TRUE,INVENTORY_CATEGORY,FALSE,FALSE
110304,مخزون في المستودعات,Inventory in Warehouse,1103,4,ASSET,BS,DR,TRUE,TRUE,TRUE,INVENTORY_CATEGORY,FALSE,FALSE
110305,مخصص المخزون,Provision for Inventory,1103,4,ASSET,BS,DR,TRUE,TRUE,TRUE,INVENTORY_CATEGORY,FALSE,TRUE
1104,مصاريف مدفوعة مقدماً,Prepaid Expenses,11,3,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
110401,ايجارات مدفوعه مقدما,Prepaid Rent Expenses,1104,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110402,تأمين مدفوعه مقدما,Prepaid Insurance Expenses,1104,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110403,تأمين طبي مدفوع مقدما,Prepaid Medical Insurance Expenses,1104,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110404,اشتراكات مدفوعه مقدما,Prepaid Licenses Services,1104,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110405,عقود مدفوعه مقدما,Prepaid Contracts Expenses,1104,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110406,ايجارات سكن موظفين,Prepaid Housing for Employees,1104,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
1105,اصول متداولة اخرى,Other Current Assets,11,3,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
110501,سلف موظفين,Employees Advances,1105,4,ASSET,BS,DR,TRUE,TRUE,TRUE,EMPLOYEE,TRUE,TRUE
110502,دفعات مقدمة للموردين,Advance to suppliers,1105,4,ASSET,BS,DR,TRUE,TRUE,TRUE,VENDOR,TRUE,FALSE
110503,ضريبة القيمة المضافة المدخلة (قابلة للاسترداد),VAT Receivable,1105,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110504,ارصدة مدينة اخرى,Other Receivable,1105,4,ASSET,BS,DR,TRUE,TRUE,TRUE,CUSTOMER,TRUE,FALSE
110505,الضمانات البنكية,Letters of Guarantee - L/G,1105,4,ASSET,BS,DR,TRUE,TRUE,TRUE,LETTER_OF_GUARANTEE,TRUE,FALSE
110506,الاعتمادات البنكية,Letters of Credit,1105,4,ASSET,BS,DR,TRUE,TRUE,TRUE,LETTER_OF_CREDIT,TRUE,FALSE
110507,الفوائد البنكية المؤجلة,Deferred bank interest,1105,4,ASSET,BS,DR,TRUE,TRUE,TRUE,BANK,TRUE,FALSE
110508,الاحتفاظ في العقود,Retention Money,1105,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110509,ايرادات مستحقة,Accrued Revenues,1105,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110510,مطالبات التأمين,Insurance claims,1105,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
110511,تامينات مستردة,Security Deposit,1105,4,ASSET,BS,DR,TRUE,TRUE,FALSE,NONE,TRUE,FALSE
1106,المستحق من أطراف ذات علاقة,Due from Related party,11,3,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
110601,المستحق من أطراف ذات علاقة,Due from Related party,1106,4,ASSET,BS,DR,TRUE,TRUE,TRUE,RELATED_PARTY,TRUE,FALSE
1107,حسابات بين الفروع,Inter-Branch Account,11,3,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
110701,حسابات بين الفروع,Inter-Branch Account,1107,4,ASSET,BS,DR,TRUE,TRUE,TRUE,BRANCH,TRUE,FALSE
12,الأصول غير المتداولة,Non-Current Assets,1,2,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
1201,الأصول الثابتة — بالتكلفة,Fixed Assets at Cost,12,3,ASSET,BS,DR,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
120101,أراضي وعقارات,Land & Real Estate,1201,4,ASSET,BS,DR,TRUE,TRUE,TRUE,FIXED_ASSET,FALSE,FALSE
120102,مباني ومستودعات,Buildings & Warehouses,1201,4,ASSET,BS,DR,TRUE,TRUE,TRUE,FIXED_ASSET,FALSE,FALSE
120103,آلات ومعدات,Machinery & Equipment,1201,4,ASSET,BS,DR,TRUE,TRUE,TRUE,FIXED_ASSET,FALSE,FALSE
120104,سيارات,Vehicles,1201,4,ASSET,BS,DR,TRUE,TRUE,TRUE,FIXED_ASSET,FALSE,FALSE
120105,أثاث وأجهزة مكتبية وأجهزة IT,"IT, Furniture & Equipment",1201,4,ASSET,BS,DR,TRUE,TRUE,TRUE,FIXED_ASSET,FALSE,FALSE
1202,مجمع الإهلاك,Accumulated Depreciation,12,3,ASSET,BS,CR,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
